tweet_id,user_id,timestamp,text,crisis_type,location,relevance_label,urgency_label,informative_label
00017,u1434,2023-03-11 10:34,Just felt the ground shake in Philippines! Hope everyone's okay. #earthquake,Earthquake,Philippines,0,Low,Not informative
00018,u4257,2024-10-13 13:36,Wildfire spreading rapidly through Florida. Stay safe everyone. #firealert,Fire,Florida,1,Low,Not informative
00019,u9928,2024-01-20 14:15,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,Florida,0,High,Unsure
00020,u7873,2024-10-31 07:20,Homes buried under debris after landslide hits Philippines.,Landslide,Philippines,1,Medium,Not informative
00021,u4611,2023-01-31 23:38,Aftershocks continue to rattle Philippines following the initial quake.,Earthquake,Philippines,1,High,Unsure
00022,u8359,2023-06-17 07:27,Major damage reported in Nevada after hurricane landfall. #storm,Hurricane,Nevada,1,High,Informative
00023,u5557,2023-06-03 22:46,"Water levels are rising fast in Philippines, homes are being flooded.",Flood,Philippines,1,High,Informative
00024,u1106,2024-10-18 06:53,Vaccination centers in Japan are overwhelmed with long queues.,Pandemic,Japan,1,Low,Not informative
00025,u3615,2024-09-24 03:26,Flash flood warning issued in Brazil. Residents advised to evacuate.,Flood,Brazil,0,High,Not informative
00026,u7924,2024-05-19 02:36,"Landslide blocks main road in New York, travelers stranded.",Landslide,New York,0,Low,Unsure
00027,u6574,2024-10-08 07:08,Evacuation orders in effect due to the fire near California.,Fire,California,0,High,Informative
00028,u5552,2024-02-17 17:16,"Landslide blocks main road in India, travelers stranded.",Landslide,India,1,Low,Not informative
00029,u3547,2023-12-13 05:58,Vaccination centers in Brazil are overwhelmed with long queues.,Pandemic,Brazil,0,High,Informative
00030,u4527,2023-07-17 09:43,Flash flood warning issued in Philippines. Residents advised to evacuate.,Flood,Philippines,0,High,Unsure
00031,u6514,2023-02-03 21:43,Sky is filled with smoke as forest fire rages in California.,Fire,California,1,Medium,Not informative
00032,u2674,2024-11-03 22:51,Black smoke billowing from the explosion site in Nevada.,Explosion,Nevada,0,Medium,Not informative
00033,u2519,2023-02-24 03:19,Power out and trees down everywhere in New York. This hurricane is no joke.,Hurricane,New York,0,Low,Unsure
00034,u7224,2024-05-13 09:15,Wildfire spreading rapidly through California. Stay safe everyone. #firealert,Fire,California,1,Medium,Not informative
00035,u2584,2024-11-04 23:46,Flash flood warning issued in Nevada. Residents advised to evacuate.,Flood,Nevada,0,Low,Not informative
00036,u6881,2023-07-24 03:52,Massive earthquake reported near Florida. Buildings are damaged and people are panicking.,Earthquake,Florida,0,Low,Not informative
00037,u6635,2024-10-16 20:36,COVID-19 cases rising again in Brazil. Please wear masks and stay safe.,Pandemic,Brazil,0,Medium,Not informative
00038,u5333,2024-01-31 10:08,Power out and trees down everywhere in Nevada. This hurricane is no joke.,Hurricane,Nevada,1,Low,Not informative
00039,u1711,2024-02-15 08:02,Roads in California are completely submerged after hours of heavy rain. #flood,Flood,California,0,Low,Not informative
00040,u8527,2024-04-24 05:17,Black smoke billowing from the explosion site in Japan.,Explosion,Japan,0,Medium,Not informative
00041,u9785,2023-01-24 23:00,Major damage reported in California after hurricane landfall. #storm,Hurricane,California,1,Low,Informative
00042,u3045,2023-05-11 14:26,Evacuation orders in effect due to the fire near Texas.,Fire,Texas,0,High,Not informative
00043,u7201,2024-11-07 07:22,"Water levels are rising fast in India, homes are being flooded.",Flood,India,1,Medium,Not informative
00044,u2291,2024-09-11 06:17,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,Nevada,0,High,Unsure
00045,u5803,2023-08-18 00:01,Aftershocks continue to rattle Turkey following the initial quake.,Earthquake,Turkey,1,Medium,Informative
00046,u6925,2023-01-12 09:38,Loud explosion heard near downtown Texas. Emergency services en route.,Explosion,Texas,0,High,Not informative
00047,u4150,2023-05-31 20:21,Massive earthquake reported near California. Buildings are damaged and people are panicking.,Earthquake,California,1,Low,Unsure
00048,u2139,2024-03-03 11:11,Just felt the ground shake in Nevada! Hope everyone's okay. #earthquake,Earthquake,Nevada,1,Medium,Informative
00049,u1750,2023-04-15 23:55,Heavy rains trigger landslides in hilly areas of India.,Landslide,India,0,High,Not informative
00050,u4733,2024-07-01 18:35,"New variant detected in Florida, authorities issue new safety guidelines.",Pandemic,Florida,1,Low,Not informative
00051,u5741,2024-08-20 14:36,Massive explosion reported at the chemical plant in India. Stay away!,Explosion,India,0,High,Not informative
00052,u2307,2024-06-02 23:32,Major damage reported in Philippines after hurricane landfall. #storm,Hurricane,Philippines,0,Medium,Informative
00053,u4814,2024-08-20 18:18,Flash flood warning issued in Texas. Residents advised to evacuate.,Flood,Texas,0,Low,Unsure
00054,u2654,2023-10-18 00:43,Massive earthquake reported near Turkey. Buildings are damaged and people are panicking.,Earthquake,Turkey,1,High,Informative
00055,u7227,2024-11-07 09:15,Heavy rains trigger landslides in hilly areas of Japan.,Landslide,Japan,1,High,Unsure
00056,u5554,2023-02-26 00:34,COVID-19 cases rising again in Brazil. Please wear masks and stay safe.,Pandemic,Brazil,1,Medium,Informative
00057,u8428,2023-08-06 22:14,Just felt the ground shake in Philippines! Hope everyone's okay. #earthquake,Earthquake,Philippines,1,High,Unsure
00058,u6977,2023-04-29 07:01,Massive explosion reported at the chemical plant in Texas. Stay away!,Explosion,Texas,0,Low,Informative
00059,u3664,2024-02-15 15:53,Loud explosion heard near downtown New York. Emergency services en route.,Explosion,New York,1,Low,Unsure
00060,u7065,2023-06-25 02:33,Just felt the ground shake in Florida! Hope everyone's okay. #earthquake,Earthquake,Florida,0,Low,Unsure
00061,u6820,2024-02-17 15:43,Wildfire spreading rapidly through Philippines. Stay safe everyone. #firealert,Fire,Philippines,1,High,Not informative
00062,u4432,2024-08-30 18:34,Black smoke billowing from the explosion site in Japan.,Explosion,Japan,1,Low,Informative
00063,u5374,2024-09-10 13:04,Flash flood warning issued in Philippines. Residents advised to evacuate.,Flood,Philippines,0,Medium,Unsure
00064,u2169,2023-10-11 09:00,Power out and trees down everywhere in California. This hurricane is no joke.,Hurricane,California,0,Medium,Unsure
00065,u3803,2024-05-08 00:02,Sky is filled with smoke as forest fire rages in California.,Fire,California,0,Medium,Informative
00066,u9751,2024-10-14 19:55,Sky is filled with smoke as forest fire rages in Florida.,Fire,Florida,1,Low,Unsure
00067,u5010,2024-01-29 15:00,Power out and trees down everywhere in Philippines. This hurricane is no joke.,Hurricane,Philippines,1,Low,Informative
00068,u3677,2023-08-30 13:23,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,Nevada,0,Medium,Not informative
00069,u8573,2023-10-07 12:11,Aftershocks continue to rattle Turkey following the initial quake.,Earthquake,Turkey,0,Medium,Informative
00070,u7216,2024-07-04 05:13,Homes buried under debris after landslide hits Japan.,Landslide,Japan,1,High,Unsure
00071,u5422,2024-06-22 15:59,Roads in India are completely submerged after hours of heavy rain. #flood,Flood,India,0,High,Not informative
00072,u4598,2023-04-12 21:48,Heavy rains trigger landslides in hilly areas of New York.,Landslide,New York,1,Medium,Not informative
00073,u6313,2024-07-29 14:57,Aftershocks continue to rattle California following the initial quake.,Earthquake,California,1,Low,Unsure
00074,u1916,2024-05-16 22:34,Homes buried under debris after landslide hits Turkey.,Landslide,Turkey,0,Medium,Informative
00075,u4752,2024-06-11 07:40,Wildfire spreading rapidly through Turkey. Stay safe everyone. #firealert,Fire,Turkey,0,High,Unsure
00076,u1525,2023-02-27 02:37,Wildfire spreading rapidly through Turkey. Stay safe everyone. #firealert,Fire,Turkey,1,Medium,Informative
00077,u6168,2023-12-31 15:59,"Landslide blocks main road in Nevada, travelers stranded.",Landslide,Nevada,0,High,Unsure
00078,u7572,2024-06-26 19:47,Loud explosion heard near downtown Florida. Emergency services en route.,Explosion,Florida,0,High,Informative
00079,u5386,2023-09-09 20:19,Sky is filled with smoke as forest fire rages in Philippines.,Fire,Philippines,0,High,Not informative
00080,u2084,2023-02-09 02:24,Power out and trees down everywhere in Nevada. This hurricane is no joke.,Hurricane,Nevada,0,Medium,Unsure
00081,u4456,2023-03-13 03:10,Black smoke billowing from the explosion site in California.,Explosion,California,1,Low,Informative
00082,u6155,2023-11-15 06:40,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,Nevada,1,Medium,Informative
00083,u4483,2023-06-19 01:00,Massive earthquake reported near India. Buildings are damaged and people are panicking.,Earthquake,India,1,High,Unsure
00084,u9179,2024-09-02 16:54,"Landslide blocks main road in California, travelers stranded.",Landslide,California,0,High,Not informative
00085,u7482,2023-02-25 08:30,Homes buried under debris after landslide hits Philippines.,Landslide,Philippines,0,Medium,Unsure
00086,u8517,2023-09-06 00:17,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,Nevada,1,High,Informative
00087,u3340,2024-03-16 16:05,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,Florida,1,Low,Not informative
00088,u5339,2024-07-13 23:20,Heavy rains trigger landslides in hilly areas of New York.,Landslide,New York,1,High,Informative
00089,u3287,2024-03-23 00:04,Flash flood warning issued in Turkey. Residents advised to evacuate.,Flood,Turkey,1,High,Not informative
00090,u5040,2024-03-09 17:00,Loud explosion heard near downtown India. Emergency services en route.,Explosion,India,0,High,Not informative
00091,u9830,2023-10-16 20:53,Massive explosion reported at the chemical plant in New York. Stay away!,Explosion,New York,1,Low,Not informative
00092,u5304,2024-07-17 06:51,Roads in Texas are completely submerged after hours of heavy rain. #flood,Flood,Texas,0,High,Informative
00093,u8019,2023-08-26 15:50,Sky is filled with smoke as forest fire rages in India.,Fire,India,1,Medium,Unsure
00094,u7543,2023-01-22 13:44,Evacuation orders in effect due to the fire near Philippines.,Fire,Philippines,0,High,Unsure
00095,u6930,2024-04-06 18:06,Power out and trees down everywhere in Brazil. This hurricane is no joke.,Hurricane,Brazil,1,Low,Informative
00096,u4593,2023-07-19 00:44,"New variant detected in Florida, authorities issue new safety guidelines.",Pandemic,Florida,1,High,Informative
00097,u3266,2024-07-24 13:29,Wildfire spreading rapidly through India. Stay safe everyone. #firealert,Fire,India,1,Low,Informative
00098,u9348,2023-11-25 01:56,Massive explosion reported at the chemical plant in Florida. Stay away!,Explosion,Florida,1,High,Informative
00099,u9085,2023-12-24 05:55,Just felt the ground shake in Brazil! Hope everyone's okay. #earthquake,Earthquake,Brazil,1,High,Unsure
00100,u2489,2023-06-16 03:00,Evacuation orders in effect due to the fire near New York.,Fire,New York,1,Medium,Informative
00101,u1771,2023-09-17 02:15,"Landslide blocks main road in India, travelers stranded.",Landslide,India,0,High,Unsure
00102,u2796,2024-02-07 17:02,Wildfire spreading rapidly through Nevada. Stay safe everyone. #firealert,Fire,Nevada,1,Low,Not informative
00103,u3504,2024-11-16 07:39,"Water levels are rising fast in Brazil, homes are being flooded.",Flood,Brazil,1,Low,Not informative
00104,u3621,2023-10-01 09:03,Just felt the ground shake in Turkey! Hope everyone's okay. #earthquake,Earthquake,Turkey,0,High,Informative
00105,u7916,2023-11-11 11:05,Power out and trees down everywhere in Japan. This hurricane is no joke.,Hurricane,Japan,1,Low,Informative
00106,u2040,2023-05-16 06:00,Major damage reported in Philippines after hurricane landfall. #storm,Hurricane,Philippines,1,Medium,Not informative
00107,u7304,2024-05-09 22:31,"Hurricane approaching New York, winds are getting stronger by the minute.",Hurricane,New York,0,High,Not informative
00108,u7252,2024-03-02 14:54,Evacuation orders in effect due to the fire near Florida.,Fire,Florida,0,High,Informative
00109,u8668,2024-04-26 02:04,"Landslide blocks main road in New York, travelers stranded.",Landslide,New York,1,Medium,Informative
00110,u9669,2023-10-04 18:15,Power out and trees down everywhere in Brazil. This hurricane is no joke.,Hurricane,Brazil,1,High,Unsure
00111,u5119,2023-03-04 09:36,Loud explosion heard near downtown Philippines. Emergency services en route.,Explosion,Philippines,0,Medium,Unsure
00112,u1188,2024-07-16 06:36,"Landslide blocks main road in Florida, travelers stranded.",Landslide,Florida,0,High,Informative
00113,u2876,2024-03-26 11:05,"Hurricane approaching New York, winds are getting stronger by the minute.",Hurricane,New York,1,Medium,Informative
00114,u9797,2023-08-04 02:07,Heavy rains trigger landslides in hilly areas of Nevada.,Landslide,Nevada,0,Medium,Not informative
00115,u5371,2024-08-04 03:01,Power out and trees down everywhere in Philippines. This hurricane is no joke.,Hurricane,Philippines,1,Medium,Unsure
00116,u6573,2023-06-29 11:01,Loud explosion heard near downtown New York. Emergency services en route.,Explosion,New York,1,Low,Informative
00117,u2827,2024-06-03 06:28,"Landslide blocks main road in India, travelers stranded.",Landslide,India,1,High,Not informative
00118,u5808,2023-02-23 12:37,Roads in New York are completely submerged after hours of heavy rain. #flood,Flood,New York,0,Medium,Unsure
00119,u8123,2023-03-01 17:43,Massive earthquake reported near Brazil. Buildings are damaged and people are panicking.,Earthquake,Brazil,1,Medium,Not informative
00120,u3591,2023-07-15 03:09,Roads in New York are completely submerged after hours of heavy rain. #flood,Flood,New York,1,Low,Informative
00121,u8433,2023-04-23 07:12,Loud explosion heard near downtown Turkey. Emergency services en route.,Explosion,Turkey,0,Medium,Unsure
00122,u1053,2023-10-04 16:58,Black smoke billowing from the explosion site in Texas.,Explosion,Texas,0,High,Not informative
00123,u5315,2024-06-02 05:27,Massive earthquake reported near Philippines. Buildings are damaged and people are panicking.,Earthquake,Philippines,1,Low,Informative
00124,u9201,2024-07-24 19:28,Heavy rains trigger landslides in hilly areas of Philippines.,Landslide,Philippines,0,Low,Informative
00125,u3927,2024-04-06 14:13,Flash flood warning issued in Texas. Residents advised to evacuate.,Flood,Texas,1,High,Informative
00126,u9317,2023-04-23 08:11,Aftershocks continue to rattle New York following the initial quake.,Earthquake,New York,1,Medium,Unsure
00127,u2743,2024-06-22 14:24,Power out and trees down everywhere in Turkey. This hurricane is no joke.,Hurricane,Turkey,0,Medium,Unsure
00128,u5889,2023-10-11 17:08,"New variant detected in New York, authorities issue new safety guidelines.",Pandemic,New York,0,Low,Unsure
00129,u9317,2023-08-19 14:21,"Hurricane approaching California, winds are getting stronger by the minute.",Hurricane,California,0,Low,Unsure
00130,u4258,2023-09-20 15:41,Heavy rains trigger landslides in hilly areas of Turkey.,Landslide,Turkey,0,High,Not informative
00131,u3504,2023-03-19 14:06,COVID-19 cases rising again in India. Please wear masks and stay safe.,Pandemic,India,1,Low,Informative
00132,u7126,2023-03-08 15:26,Black smoke billowing from the explosion site in India.,Explosion,India,1,High,Informative
00133,u3646,2023-01-04 18:47,Power out and trees down everywhere in Nevada. This hurricane is no joke.,Hurricane,Nevada,0,High,Unsure
00134,u9837,2024-11-17 15:25,Flash flood warning issued in Japan. Residents advised to evacuate.,Flood,Japan,1,Low,Unsure
00135,u9689,2023-08-13 11:21,"New variant detected in Nevada, authorities issue new safety guidelines.",Pandemic,Nevada,1,Medium,Unsure
00136,u1009,2023-11-20 20:19,Power out and trees down everywhere in New York. This hurricane is no joke.,Hurricane,New York,1,Medium,Informative
00137,u6310,2023-09-20 02:00,Heavy rains trigger landslides in hilly areas of Florida.,Landslide,Florida,1,Low,Informative
00138,u9005,2024-07-08 09:29,Sky is filled with smoke as forest fire rages in Texas.,Fire,Texas,0,High,Unsure
00139,u1319,2023-07-16 10:30,Vaccination centers in New York are overwhelmed with long queues.,Pandemic,New York,0,Medium,Unsure
00140,u2832,2023-03-16 10:37,Aftershocks continue to rattle New York following the initial quake.,Earthquake,New York,0,High,Not informative
00141,u6947,2023-04-07 11:43,Heavy rains trigger landslides in hilly areas of California.,Landslide,California,1,High,Informative
00142,u6038,2023-03-05 13:37,Massive explosion reported at the chemical plant in Brazil. Stay away!,Explosion,Brazil,0,Low,Unsure
00143,u4923,2023-05-17 10:54,Heavy rains trigger landslides in hilly areas of Brazil.,Landslide,Brazil,0,Medium,Not informative
00144,u1949,2023-11-10 19:54,Massive explosion reported at the chemical plant in Nevada. Stay away!,Explosion,Nevada,1,High,Not informative
00145,u4946,2023-11-23 20:06,Flash flood warning issued in Brazil. Residents advised to evacuate.,Flood,Brazil,0,Low,Not informative
00146,u2290,2024-02-10 14:01,"Hurricane approaching Brazil, winds are getting stronger by the minute.",Hurricane,Brazil,0,High,Unsure
00147,u2403,2024-02-08 22:47,Major damage reported in Brazil after hurricane landfall. #storm,Hurricane,Brazil,1,Low,Unsure
00148,u8962,2024-01-09 03:33,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,Florida,1,High,Informative
00149,u2133,2023-10-25 03:05,Major damage reported in Brazil after hurricane landfall. #storm,Hurricane,Brazil,1,High,Not informative
00150,u9727,2023-03-17 05:10,"Hurricane approaching Florida, winds are getting stronger by the minute.",Hurricane,Florida,1,Low,Not informative
00151,u3060,2023-01-20 02:57,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,Florida,1,Low,Not informative
00152,u3103,2023-03-07 06:12,Just felt the ground shake in California! Hope everyone's okay. #earthquake,Earthquake,California,1,High,Informative
00153,u8787,2023-09-15 17:06,Evacuation orders in effect due to the fire near Turkey.,Fire,Turkey,1,Low,Informative
00154,u3705,2024-02-08 13:41,Black smoke billowing from the explosion site in Texas.,Explosion,Texas,0,High,Not informative
00155,u5342,2023-03-09 18:24,Wildfire spreading rapidly through Japan. Stay safe everyone. #firealert,Fire,Japan,0,Low,Unsure
00156,u9645,2024-03-10 16:00,Aftershocks continue to rattle New York following the initial quake.,Earthquake,New York,0,Low,Unsure
00157,u7932,2024-03-11 11:34,Black smoke billowing from the explosion site in Philippines.,Explosion,Philippines,0,Low,Not informative
00158,u4470,2024-07-25 05:03,"Landslide blocks main road in Brazil, travelers stranded.",Landslide,Brazil,1,Low,Not informative
00159,u9835,2023-08-25 05:49,Loud explosion heard near downtown Japan. Emergency services en route.,Explosion,Japan,0,Low,Not informative
00160,u4295,2024-09-20 22:34,"New variant detected in Turkey, authorities issue new safety guidelines.",Pandemic,Turkey,1,Low,Not informative
00161,u6107,2023-10-08 12:31,Homes buried under debris after landslide hits New York.,Landslide,New York,0,Medium,Informative
00162,u7537,2023-01-09 23:40,Massive explosion reported at the chemical plant in India. Stay away!,Explosion,India,0,Medium,Informative
00163,u7118,2023-08-01 12:24,"New variant detected in Japan, authorities issue new safety guidelines.",Pandemic,Japan,1,High,Not informative
00164,u8177,2023-10-29 07:51,Massive explosion reported at the chemical plant in Japan. Stay away!,Explosion,Japan,0,Medium,Unsure
00165,u9479,2023-10-10 09:17,COVID-19 cases rising again in New York. Please wear masks and stay safe.,Pandemic,New York,0,Medium,Not informative
00166,u8397,2024-07-21 08:58,"Water levels are rising fast in New York, homes are being flooded.",Flood,New York,0,Medium,Not informative
00167,u2982,2023-03-03 16:13,Loud explosion heard near downtown Florida. Emergency services en route.,Explosion,Florida,1,Low,Not informative
00168,u5061,2024-06-11 19:33,Homes buried under debris after landslide hits Florida.,Landslide,Florida,1,Medium,Unsure
00169,u4681,2024-10-18 04:29,Evacuation orders in effect due to the fire near California.,Fire,California,1,High,Unsure
00170,u2049,2024-02-12 10:36,"New variant detected in India, authorities issue new safety guidelines.",Pandemic,India,1,Low,Unsure
00171,u6539,2024-10-21 03:38,"New variant detected in California, authorities issue new safety guidelines.",Pandemic,California,1,Low,Informative
00172,u1344,2023-06-26 18:13,Black smoke billowing from the explosion site in Nevada.,Explosion,Nevada,1,Medium,Not informative
00173,u4770,2024-02-21 11:43,Black smoke billowing from the explosion site in India.,Explosion,India,1,High,Informative
00174,u4608,2024-01-15 10:57,COVID-19 cases rising again in Florida. Please wear masks and stay safe.,Pandemic,Florida,1,High,Not informative
00175,u1117,2023-05-04 11:40,Massive earthquake reported near Florida. Buildings are damaged and people are panicking.,Earthquake,Florida,0,Low,Unsure
00176,u2163,2024-05-14 00:45,Major damage reported in Florida after hurricane landfall. #storm,Hurricane,Florida,0,Low,Not informative
00177,u1964,2023-10-05 05:46,Black smoke billowing from the explosion site in Texas.,Explosion,Texas,0,High,Not informative
00178,u4750,2023-05-04 10:15,Loud explosion heard near downtown New York. Emergency services en route.,Explosion,New York,0,High,Unsure
00179,u2104,2023-04-12 02:24,Flash flood warning issued in Japan. Residents advised to evacuate.,Flood,Japan,0,Low,Unsure
00180,u1514,2023-07-15 19:41,Power out and trees down everywhere in Brazil. This hurricane is no joke.,Hurricane,Brazil,0,Low,Informative
00181,u6413,2023-08-08 06:39,Evacuation orders in effect due to the fire near Japan.,Fire,Japan,0,Medium,Not informative
00182,u2160,2023-07-15 10:44,Massive explosion reported at the chemical plant in Turkey. Stay away!,Explosion,Turkey,0,High,Informative
00183,u9423,2023-12-26 01:57,Black smoke billowing from the explosion site in Japan.,Explosion,Japan,0,High,Unsure
00184,u4899,2023-04-17 06:23,Massive explosion reported at the chemical plant in Florida. Stay away!,Explosion,Florida,0,High,Informative
00185,u5562,2023-02-16 01:40,"Hurricane approaching India, winds are getting stronger by the minute.",Hurricane,India,1,Medium,Not informative
00186,u8953,2023-05-02 18:09,Roads in India are completely submerged after hours of heavy rain. #flood,Flood,India,0,Low,Informative
00187,u4510,2023-11-13 12:31,"Landslide blocks main road in California, travelers stranded.",Landslide,California,0,High,Not informative
00188,u9834,2023-07-20 22:46,Homes buried under debris after landslide hits Brazil.,Landslide,Brazil,1,Medium,Not informative
00189,u3167,2023-11-03 15:17,Vaccination centers in India are overwhelmed with long queues.,Pandemic,India,0,High,Not informative
00190,u8744,2023-08-07 06:33,"New variant detected in Turkey, authorities issue new safety guidelines.",Pandemic,Turkey,0,Medium,Unsure
00191,u4981,2023-12-19 14:33,Aftershocks continue to rattle India following the initial quake.,Earthquake,India,1,Medium,Informative
00192,u8749,2024-07-23 22:05,Just felt the ground shake in Brazil! Hope everyone's okay. #earthquake,Earthquake,Brazil,1,High,Unsure
00193,u7669,2023-02-26 00:17,Massive explosion reported at the chemical plant in Brazil. Stay away!,Explosion,Brazil,0,Medium,Not informative
00194,u4119,2023-09-20 23:06,Flash flood warning issued in Brazil. Residents advised to evacuate.,Flood,Brazil,1,High,Not informative
00195,u2545,2023-07-03 06:46,"New variant detected in Philippines, authorities issue new safety guidelines.",Pandemic,Philippines,1,High,Informative
00196,u2588,2024-11-18 13:28,"Landslide blocks main road in Philippines, travelers stranded.",Landslide,Philippines,0,Medium,Unsure
00197,u8062,2023-06-29 13:28,"Hurricane approaching California, winds are getting stronger by the minute.",Hurricane,California,0,Low,Informative
00198,u6804,2024-06-08 22:37,Homes buried under debris after landslide hits Philippines.,Landslide,Philippines,0,Medium,Informative
00199,u7939,2024-03-31 03:15,Major damage reported in Texas after hurricane landfall. #storm,Hurricane,Texas,0,Medium,Unsure
00200,u7735,2023-12-28 00:46,"Landslide blocks main road in Japan, travelers stranded.",Landslide,Japan,1,High,Informative
00201,u8651,2024-03-08 09:31,"Water levels are rising fast in Japan, homes are being flooded.",Flood,Japan,1,High,Informative
00202,u1887,2024-03-25 01:04,Massive earthquake reported near California. Buildings are damaged and people are panicking.,Earthquake,California,1,High,Not informative
00203,u2612,2023-05-23 09:27,Homes buried under debris after landslide hits Florida.,Landslide,Florida,0,Low,Unsure
00204,u1993,2023-11-30 09:42,Major damage reported in Philippines after hurricane landfall. #storm,Hurricane,Philippines,1,Medium,Informative
00205,u7596,2023-03-19 21:28,Sky is filled with smoke as forest fire rages in Philippines.,Fire,Philippines,0,Medium,Informative
00206,u6559,2023-04-09 15:51,Roads in India are completely submerged after hours of heavy rain. #flood,Flood,India,0,Medium,Informative
00207,u2790,2023-08-10 20:17,Sky is filled with smoke as forest fire rages in California.,Fire,California,1,Medium,Not informative
00208,u5073,2023-01-05 22:16,Sky is filled with smoke as forest fire rages in Philippines.,Fire,Philippines,1,Medium,Unsure
00209,u4139,2024-11-21 21:53,Massive earthquake reported near India. Buildings are damaged and people are panicking.,Earthquake,India,0,Low,Not informative
00210,u4116,2023-10-16 03:13,Vaccination centers in Philippines are overwhelmed with long queues.,Pandemic,Philippines,1,High,Unsure
00211,u9786,2023-08-30 21:54,"Water levels are rising fast in California, homes are being flooded.",Flood,California,0,High,Unsure
00212,u8350,2024-09-04 20:15,COVID-19 cases rising again in Florida. Please wear masks and stay safe.,Pandemic,Florida,0,Low,Unsure
00213,u3296,2024-03-27 14:38,Massive explosion reported at the chemical plant in Nevada. Stay away!,Explosion,Nevada,1,Medium,Informative
00214,u7912,2023-10-04 15:03,"Hurricane approaching Japan, winds are getting stronger by the minute.",Hurricane,Japan,1,High,Informative
00215,u4006,2024-08-08 12:15,Power out and trees down everywhere in India. This hurricane is no joke.,Hurricane,India,1,Medium,Not informative
00216,u5563,2024-09-19 20:00,Heavy rains trigger landslides in hilly areas of Nevada.,Landslide,Nevada,1,Medium,Not informative
00217,u8579,2023-08-28 23:09,Flash flood warning issued in Nevada. Residents advised to evacuate.,Flood,Nevada,0,Medium,Not informative
00218,u5092,2023-11-17 13:27,Aftershocks continue to rattle Japan following the initial quake.,Earthquake,Japan,1,Medium,Not informative
00219,u2235,2023-09-01 17:56,Power out and trees down everywhere in New York. This hurricane is no joke.,Hurricane,New York,1,Low,Unsure
00220,u8260,2023-11-10 13:33,Power out and trees down everywhere in India. This hurricane is no joke.,Hurricane,India,1,Low,Not informative
00221,u2604,2024-08-16 19:28,Heavy rains trigger landslides in hilly areas of Nevada.,Landslide,Nevada,1,High,Informative
00222,u1828,2024-08-22 16:19,Vaccination centers in Brazil are overwhelmed with long queues.,Pandemic,Brazil,0,Medium,Informative
00223,u9856,2024-09-17 20:59,"Hurricane approaching California, winds are getting stronger by the minute.",Hurricane,California,0,Medium,Not informative
00224,u1241,2024-04-19 01:41,Aftershocks continue to rattle Philippines following the initial quake.,Earthquake,Philippines,0,Low,Unsure
00225,u2528,2024-03-08 19:46,Homes buried under debris after landslide hits New York.,Landslide,New York,1,Low,Unsure
