timestamp,text,crisis_type,urgency_label
2023-07-24 03:52,Massive earthquake reported near Florida. Buildings are damaged and people are panicking.,Earthquake,Low
2024-10-16 20:36,COVID-19 cases rising again in Brazil. Please wear masks and stay safe.,Pandemic,Medium
2024-01-31 10:08,Power out and trees down everywhere in Nevada. This hurricane is no joke.,Hurricane,Low
2024-02-15 08:02,Roads in California are completely submerged after hours of heavy rain. #flood,Flood,Low
2024-04-24 05:17,Black smoke billowing from the explosion site in Japan.,Explosion,Medium
2023-01-24 23:00,Major damage reported in California after hurricane landfall. #storm,Hurricane,Low
2023-05-11 14:26,Evacuation orders in effect due to the fire near Texas.,Wildfire,High
2024-11-07 07:22,"Water levels are rising fast in India, homes are being flooded.",Flood,Medium
2024-09-11 06:17,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,High
2023-08-18 00:01,Aftershocks continue to rattle Turkey following the initial quake.,Earthquake,Medium
2023-01-12 09:38,Loud explosion heard near downtown Texas. Emergency services en route.,Explosion,High
2023-05-31 20:21,Massive earthquake reported near California. Buildings are damaged and people are panicking.,Earthquake,Low
2024-03-03 11:11,Just felt the ground shake in Nevada! Hope everyone's okay. #earthquake,Earthquake,Medium
2023-04-15 23:55,Heavy rains trigger landslides in hilly areas of India.,Landslide,High
2024-07-01 18:35,"New variant detected in Florida, authorities issue new safety guidelines.",Pandemic,Low
2024-08-20 14:36,Massive explosion reported at the chemical plant in India. Stay away!,Explosion,High
2024-06-02 23:32,Major damage reported in Philippines after hurricane landfall. #storm,Hurricane,Medium
2024-08-20 18:18,Flash flood warning issued in Texas. Residents advised to evacuate.,Flood,Low
2023-10-18 00:43,Massive earthquake reported near Turkey. Buildings are damaged and people are panicking.,Earthquake,High
2024-11-07 09:15,Heavy rains trigger landslides in hilly areas of Japan.,Landslide,High
2023-02-26 00:34,COVID-19 cases rising again in Brazil. Please wear masks and stay safe.,Pandemic,Medium
2023-08-06 22:14,Just felt the ground shake in Philippines! Hope everyone's okay. #earthquake,Earthquake,High
2023-04-29 07:01,Massive explosion reported at the chemical plant in Texas. Stay away!,Explosion,Low
2024-02-15 15:53,Loud explosion heard near downtown New York. Emergency services en route.,Explosion,Low
2023-06-25 02:33,Just felt the ground shake in Florida! Hope everyone's okay. #earthquake,Earthquake,Low
2024-02-17 15:43,Wildfire spreading rapidly through Philippines. Stay safe everyone. #firealert,Wildfire,High
2024-08-30 18:34,Black smoke billowing from the explosion site in Japan.,Explosion,Low
2024-09-10 13:04,Flash flood warning issued in Philippines. Residents advised to evacuate.,Flood,Medium
2023-10-11 09:00,Power out and trees down everywhere in California. This hurricane is no joke.,Hurricane,Medium
2024-05-08 00:02,Sky is filled with smoke as forest fire rages in California.,Wildfire,Medium
2024-10-14 19:55,Sky is filled with smoke as forest fire rages in Florida.,Wildfire,Low
2024-01-29 15:00,Power out and trees down everywhere in Philippines. This hurricane is no joke.,Hurricane,Low
2023-08-30 13:23,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,Medium
2023-10-07 12:11,Aftershocks continue to rattle Turkey following the initial quake.,Earthquake,Medium
2024-06-22 15:59,Roads in India are completely submerged after hours of heavy rain. #flood,Flood,High
2023-04-12 21:48,Heavy rains trigger landslides in hilly areas of New York.,Landslide,Medium
2024-07-29 14:57,Aftershocks continue to rattle California following the initial quake.,Earthquake,Low
2024-06-11 07:40,Wildfire spreading rapidly through Turkey. Stay safe everyone. #firealert,Wildfire,High
2023-02-27 02:37,Wildfire spreading rapidly through Turkey. Stay safe everyone. #firealert,Wildfire,Medium
2023-12-31 15:59,"Landslide blocks main road in Nevada, travelers stranded.",Landslide,High
2024-06-26 19:47,Loud explosion heard near downtown Florida. Emergency services en route.,Explosion,High
2023-09-09 20:19,Sky is filled with smoke as forest fire rages in Philippines.,Wildfire,High
2023-02-09 02:24,Power out and trees down everywhere in Nevada. This hurricane is no joke.,Hurricane,Medium
2023-03-13 03:10,Black smoke billowing from the explosion site in California.,Explosion,Low
2023-11-15 06:40,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,Medium
2023-06-19 01:00,Massive earthquake reported near India. Buildings are damaged and people are panicking.,Earthquake,High
2024-09-02 16:54,"Landslide blocks main road in California, travelers stranded.",Landslide,High
2023-09-06 00:17,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,High
2024-03-16 16:05,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,Low
2024-07-13 23:20,Heavy rains trigger landslides in hilly areas of New York.,Landslide,High
2024-03-23 00:04,Flash flood warning issued in Turkey. Residents advised to evacuate.,Flood,High
2024-03-09 17:00,Loud explosion heard near downtown India. Emergency services en route.,Explosion,High
2023-10-16 20:53,Massive explosion reported at the chemical plant in New York. Stay away!,Explosion,Low
2024-07-17 06:51,Roads in Texas are completely submerged after hours of heavy rain. #flood,Flood,High
2023-08-26 15:50,Sky is filled with smoke as forest fire rages in India.,Wildfire,Medium
2023-01-22 13:44,Evacuation orders in effect due to the fire near Philippines.,Wildfire,High
2024-04-06 18:06,Power out and trees down everywhere in Brazil. This hurricane is no joke.,Hurricane,Low
2023-07-19 00:44,"New variant detected in Florida, authorities issue new safety guidelines.",Pandemic,High
2024-07-24 13:29,Wildfire spreading rapidly through India. Stay safe everyone. #firealert,Wildfire,Low
2023-11-25 01:56,Massive explosion reported at the chemical plant in Florida. Stay away!,Explosion,High
2023-12-24 05:55,Just felt the ground shake in Brazil! Hope everyone's okay. #earthquake,Earthquake,High
2023-06-16 03:00,Evacuation orders in effect due to the fire near New York.,Wildfire,Medium
2023-09-17 02:15,"Landslide blocks main road in India, travelers stranded.",Landslide,High
2024-02-07 17:02,Wildfire spreading rapidly through Nevada. Stay safe everyone. #firealert,Wildfire,Low
2024-11-16 07:39,"Water levels are rising fast in Brazil, homes are being flooded.",Flood,Low
2023-10-01 09:03,Just felt the ground shake in Turkey! Hope everyone's okay. #earthquake,Earthquake,High
2023-11-11 11:05,Power out and trees down everywhere in Japan. This hurricane is no joke.,Hurricane,Low
2023-05-16 06:00,Major damage reported in Philippines after hurricane landfall. #storm,Hurricane,Medium
2024-05-09 22:31,"Hurricane approaching New York, winds are getting stronger by the minute.",Hurricane,High
2024-03-02 14:54,Evacuation orders in effect due to the fire near Florida.,Wildfire,High
2024-04-26 02:04,"Landslide blocks main road in New York, travelers stranded.",Landslide,Medium
2023-10-04 18:15,Power out and trees down everywhere in Brazil. This hurricane is no joke.,Hurricane,High
2023-03-04 09:36,Loud explosion heard near downtown Philippines. Emergency services en route.,Explosion,Medium
2024-07-16 06:36,"Landslide blocks main road in Florida, travelers stranded.",Landslide,High
2024-03-26 11:05,"Hurricane approaching New York, winds are getting stronger by the minute.",Hurricane,Medium
2023-08-04 02:07,Heavy rains trigger landslides in hilly areas of Nevada.,Landslide,Medium
2024-08-04 03:01,Power out and trees down everywhere in Philippines. This hurricane is no joke.,Hurricane,Medium
2023-06-29 11:01,Loud explosion heard near downtown New York. Emergency services en route.,Explosion,Low
2024-06-03 06:28,"Landslide blocks main road in India, travelers stranded.",Landslide,High
2023-02-23 12:37,Roads in New York are completely submerged after hours of heavy rain. #flood,Flood,Medium
2023-03-01 17:43,Massive earthquake reported near Brazil. Buildings are damaged and people are panicking.,Earthquake,Medium
2023-07-15 03:09,Roads in New York are completely submerged after hours of heavy rain. #flood,Flood,Low
2023-04-23 07:12,Loud explosion heard near downtown Turkey. Emergency services en route.,Explosion,Medium
2023-10-04 16:58,Black smoke billowing from the explosion site in Texas.,Explosion,High
2024-06-02 05:27,Massive earthquake reported near Philippines. Buildings are damaged and people are panicking.,Earthquake,Low
2024-07-24 19:28,Heavy rains trigger landslides in hilly areas of Philippines.,Landslide,Low
2024-04-06 14:13,Flash flood warning issued in Texas. Residents advised to evacuate.,Flood,High
2023-04-23 08:11,Aftershocks continue to rattle New York following the initial quake.,Earthquake,Medium
2024-06-22 14:24,Power out and trees down everywhere in Turkey. This hurricane is no joke.,Hurricane,Medium
2023-10-11 17:08,"New variant detected in New York, authorities issue new safety guidelines.",Pandemic,Low
2023-08-19 14:21,"Hurricane approaching California, winds are getting stronger by the minute.",Hurricane,Low
2023-09-20 15:41,Heavy rains trigger landslides in hilly areas of Turkey.,Landslide,High
2023-03-19 14:06,COVID-19 cases rising again in India. Please wear masks and stay safe.,Pandemic,Low
2023-03-08 15:26,Black smoke billowing from the explosion site in India.,Explosion,High
2023-01-04 18:47,Power out and trees down everywhere in Nevada. This hurricane is no joke.,Hurricane,High
2024-11-17 15:25,Flash flood warning issued in Japan. Residents advised to evacuate.,Flood,Low
2023-08-13 11:21,"New variant detected in Nevada, authorities issue new safety guidelines.",Pandemic,Medium
2023-11-20 20:19,Power out and trees down everywhere in New York. This hurricane is no joke.,Hurricane,Medium
2023-09-20 02:00,Heavy rains trigger landslides in hilly areas of Florida.,Landslide,Low
2024-07-08 09:29,Sky is filled with smoke as forest fire rages in Texas.,Wildfire,High
2023-07-16 10:30,Vaccination centers in New York are overwhelmed with long queues.,Pandemic,Medium
2023-03-16 10:37,Aftershocks continue to rattle New York following the initial quake.,Earthquake,High
2023-04-07 11:43,Heavy rains trigger landslides in hilly areas of California.,Landslide,High
2023-03-05 13:37,Massive explosion reported at the chemical plant in Brazil. Stay away!,Explosion,Low
2023-05-17 10:54,Heavy rains trigger landslides in hilly areas of Brazil.,Landslide,Medium
2023-11-10 19:54,Massive explosion reported at the chemical plant in Nevada. Stay away!,Explosion,High
2023-11-23 20:06,Flash flood warning issued in Brazil. Residents advised to evacuate.,Flood,Low
2024-02-10 14:01,"Hurricane approaching Brazil, winds are getting stronger by the minute.",Hurricane,High
2024-02-08 22:47,Major damage reported in Brazil after hurricane landfall. #storm,Hurricane,Low
2024-01-09 03:33,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,High
2023-10-25 03:05,Major damage reported in Brazil after hurricane landfall. #storm,Hurricane,High
2023-03-17 05:10,"Hurricane approaching Florida, winds are getting stronger by the minute.",Hurricane,Low
2023-01-20 02:57,Aftershocks continue to rattle Florida following the initial quake.,Earthquake,Low
2023-03-07 06:12,Just felt the ground shake in California! Hope everyone's okay. #earthquake,Earthquake,High
2023-09-15 17:06,Evacuation orders in effect due to the fire near Turkey.,Wildfire,Low
2024-02-08 13:41,Black smoke billowing from the explosion site in Texas.,Explosion,High
2023-03-09 18:24,Wildfire spreading rapidly through Japan. Stay safe everyone. #firealert,Wildfire,Low
2024-03-10 16:00,Aftershocks continue to rattle New York following the initial quake.,Earthquake,Low
2024-03-11 11:34,Black smoke billowing from the explosion site in Philippines.,Explosion,Low
2024-07-25 05:03,"Landslide blocks main road in Brazil, travelers stranded.",Landslide,Low
2023-08-25 05:49,Loud explosion heard near downtown Japan. Emergency services en route.,Explosion,Low
2024-09-20 22:34,"New variant detected in Turkey, authorities issue new safety guidelines.",Pandemic,Low
2023-01-09 23:40,Massive explosion reported at the chemical plant in India. Stay away!,Explosion,Medium
2023-08-01 12:24,"New variant detected in Japan, authorities issue new safety guidelines.",Pandemic,High
2023-10-29 07:51,Massive explosion reported at the chemical plant in Japan. Stay away!,Explosion,Medium
2023-10-10 09:17,COVID-19 cases rising again in New York. Please wear masks and stay safe.,Pandemic,Medium
2024-07-21 08:58,"Water levels are rising fast in New York, homes are being flooded.",Flood,Medium
2023-03-03 16:13,Loud explosion heard near downtown Florida. Emergency services en route.,Explosion,Low
2024-10-18 04:29,Evacuation orders in effect due to the fire near California.,Wildfire,High
2024-02-12 10:36,"New variant detected in India, authorities issue new safety guidelines.",Pandemic,Low
2024-10-21 03:38,"New variant detected in California, authorities issue new safety guidelines.",Pandemic,Low
2023-06-26 18:13,Black smoke billowing from the explosion site in Nevada.,Explosion,Medium
2024-02-21 11:43,Black smoke billowing from the explosion site in India.,Explosion,High
2024-01-15 10:57,COVID-19 cases rising again in Florida. Please wear masks and stay safe.,Pandemic,High
2023-05-04 11:40,Massive earthquake reported near Florida. Buildings are damaged and people are panicking.,Earthquake,Low
2024-05-14 00:45,Major damage reported in Florida after hurricane landfall. #storm,Hurricane,Low
2023-10-05 05:46,Black smoke billowing from the explosion site in Texas.,Explosion,High
2023-05-04 10:15,Loud explosion heard near downtown New York. Emergency services en route.,Explosion,High
2023-04-12 02:24,Flash flood warning issued in Japan. Residents advised to evacuate.,Flood,Low
2023-07-15 19:41,Power out and trees down everywhere in Brazil. This hurricane is no joke.,Hurricane,Low
2023-08-08 06:39,Evacuation orders in effect due to the fire near Japan.,Wildfire,Medium
2023-07-15 10:44,Massive explosion reported at the chemical plant in Turkey. Stay away!,Explosion,High
2023-12-26 01:57,Black smoke billowing from the explosion site in Japan.,Explosion,High
2023-04-17 06:23,Massive explosion reported at the chemical plant in Florida. Stay away!,Explosion,High
2023-02-16 01:40,"Hurricane approaching India, winds are getting stronger by the minute.",Hurricane,Medium
2023-05-02 18:09,Roads in India are completely submerged after hours of heavy rain. #flood,Flood,Low
2023-11-13 12:31,"Landslide blocks main road in California, travelers stranded.",Landslide,High
2023-11-03 15:17,Vaccination centers in India are overwhelmed with long queues.,Pandemic,High
2023-08-07 06:33,"New variant detected in Turkey, authorities issue new safety guidelines.",Pandemic,Medium
2023-12-19 14:33,Aftershocks continue to rattle India following the initial quake.,Earthquake,Medium
2024-07-23 22:05,Just felt the ground shake in Brazil! Hope everyone's okay. #earthquake,Earthquake,High
2023-02-26 00:17,Massive explosion reported at the chemical plant in Brazil. Stay away!,Explosion,Medium
2023-09-20 23:06,Flash flood warning issued in Brazil. Residents advised to evacuate.,Flood,High
2023-07-03 06:46,"New variant detected in Philippines, authorities issue new safety guidelines.",Pandemic,High
2024-11-18 13:28,"Landslide blocks main road in Philippines, travelers stranded.",Landslide,Medium
2023-06-29 13:28,"Hurricane approaching California, winds are getting stronger by the minute.",Hurricane,Low
2024-03-31 03:15,Major damage reported in Texas after hurricane landfall. #storm,Hurricane,Medium
2023-12-28 00:46,"Landslide blocks main road in Japan, travelers stranded.",Landslide,High
2024-03-08 09:31,"Water levels are rising fast in Japan, homes are being flooded.",Flood,High
2024-03-25 01:04,Massive earthquake reported near California. Buildings are damaged and people are panicking.,Earthquake,High
2023-11-30 09:42,Major damage reported in Philippines after hurricane landfall. #storm,Hurricane,Medium
2023-03-19 21:28,Sky is filled with smoke as forest fire rages in Philippines.,Wildfire,Medium
2023-04-09 15:51,Roads in India are completely submerged after hours of heavy rain. #flood,Flood,Medium
2023-08-10 20:17,Sky is filled with smoke as forest fire rages in California.,Wildfire,Medium
2023-01-05 22:16,Sky is filled with smoke as forest fire rages in Philippines.,Wildfire,Medium
2024-11-21 21:53,Massive earthquake reported near India. Buildings are damaged and people are panicking.,Earthquake,Low
2023-10-16 03:13,Vaccination centers in Philippines are overwhelmed with long queues.,Pandemic,High
2023-08-30 21:54,"Water levels are rising fast in California, homes are being flooded.",Flood,High
2024-09-04 20:15,COVID-19 cases rising again in Florida. Please wear masks and stay safe.,Pandemic,Low
2024-03-27 14:38,Massive explosion reported at the chemical plant in Nevada. Stay away!,Explosion,Medium
2023-10-04 15:03,"Hurricane approaching Japan, winds are getting stronger by the minute.",Hurricane,High
2024-08-08 12:15,Power out and trees down everywhere in India. This hurricane is no joke.,Hurricane,Medium
2024-09-19 20:00,Heavy rains trigger landslides in hilly areas of Nevada.,Landslide,Medium
2023-08-28 23:09,Flash flood warning issued in Nevada. Residents advised to evacuate.,Flood,Medium
2023-11-17 13:27,Aftershocks continue to rattle Japan following the initial quake.,Earthquake,Medium
2023-09-01 17:56,Power out and trees down everywhere in New York. This hurricane is no joke.,Hurricane,Low
2023-11-10 13:33,Power out and trees down everywhere in India. This hurricane is no joke.,Hurricane,Low
2024-08-16 19:28,Heavy rains trigger landslides in hilly areas of Nevada.,Landslide,High
2024-08-22 16:19,Vaccination centers in Brazil are overwhelmed with long queues.,Pandemic,Medium
2024-09-17 20:59,"Hurricane approaching California, winds are getting stronger by the minute.",Hurricane,Medium
2024-04-19 01:41,Aftershocks continue to rattle Philippines following the initial quake.,Earthquake,Low
2023-04-10 02:56,Major damage reported in Japan after hurricane landfall. #storm,Hurricane,Medium
2023-08-07 18:29,"Hurricane approaching Japan, winds are getting stronger by the minute.",Hurricane,Medium
2023-08-22 12:01,Sky is filled with smoke as forest fire rages in Texas.,Wildfire,High
2024-03-15 05:52,Aftershocks continue to rattle Philippines following the initial quake.,Earthquake,Low
2024-11-20 18:53,Power out and trees down everywhere in Texas. This hurricane is no joke.,Hurricane,Medium
2024-05-21 07:06,Massive explosion reported at the chemical plant in New York. Stay away!,Explosion,Low
2023-05-27 06:08,Loud explosion heard near downtown Brazil. Emergency services en route.,Explosion,Medium
2023-12-15 19:18,Aftershocks continue to rattle Philippines following the initial quake.,Earthquake,Medium
2023-08-17 18:45,Just felt the ground shake in New York! Hope everyone's okay. #earthquake,Earthquake,Low
2023-05-10 08:26,Power out and trees down everywhere in India. This hurricane is no joke.,Hurricane,High
2023-10-17 23:44,Major damage reported in India after hurricane landfall. #storm,Hurricane,Low
2023-08-21 09:20,Aftershocks continue to rattle Turkey following the initial quake.,Earthquake,Low
2023-08-01 05:25,COVID-19 cases rising again in Japan. Please wear masks and stay safe.,Pandemic,High
2024-06-19 02:51,COVID-19 cases rising again in California. Please wear masks and stay safe.,Pandemic,Low
2024-05-21 01:16,Aftershocks continue to rattle New York following the initial quake.,Earthquake,High
2024-04-05 20:46,"Landslide blocks main road in Japan, travelers stranded.",Landslide,Low
2023-12-24 12:58,Aftershocks continue to rattle Brazil following the initial quake.,Earthquake,Low
2024-02-24 08:13,Heavy rains trigger landslides in hilly areas of Florida.,Landslide,High
2024-07-23 09:59,"New variant detected in Japan, authorities issue new safety guidelines.",Pandemic,High
2023-06-26 12:40,COVID-19 cases rising again in Texas. Please wear masks and stay safe.,Pandemic,High
2023-08-26 07:16,Black smoke billowing from the explosion site in Nevada.,Explosion,Medium
2023-10-01 20:02,Wildfire spreading rapidly through Turkey. Stay safe everyone. #firealert,Wildfire,Medium
2023-07-24 02:36,COVID-19 cases rising again in New York. Please wear masks and stay safe.,Pandemic,High
2024-08-17 13:16,"New variant detected in Texas, authorities issue new safety guidelines.",Pandemic,Low
2024-07-26 06:00,Roads in Texas are completely submerged after hours of heavy rain. #flood,Flood,Medium
2023-10-14 03:02,Loud explosion heard near downtown Texas. Emergency services en route.,Explosion,High
2023-09-23 19:06,Loud explosion heard near downtown Japan. Emergency services en route.,Explosion,High
2023-03-24 22:20,Power out and trees down everywhere in Turkey. This hurricane is no joke.,Hurricane,Medium
2024-11-09 17:03,Evacuation orders in effect due to the fire near Texas.,Wildfire,Medium
2024-02-15 14:00,Sky is filled with smoke as forest fire rages in Philippines.,Wildfire,Low
2023-05-26 11:45,"Landslide blocks main road in India, travelers stranded.",Landslide,High
2024-03-07 05:55,Massive earthquake reported near Philippines. Buildings are damaged and people are panicking.,Earthquake,Medium
2024-02-02 07:33,"Landslide blocks main road in Brazil, travelers stranded.",Landslide,Medium
2023-05-12 00:27,Roads in New York are completely submerged after hours of heavy rain. #flood,Flood,Medium
2024-05-11 09:47,Heavy rains trigger landslides in hilly areas of India.,Landslide,Low
2024-07-12 23:05,Power out and trees down everywhere in Philippines. This hurricane is no joke.,Hurricane,Low
2024-02-05 13:40,Sky is filled with smoke as forest fire rages in India.,Wildfire,Medium
2023-01-20 14:23,"New variant detected in California, authorities issue new safety guidelines.",Pandemic,High
2024-11-24 22:57,Heavy rains trigger landslides in hilly areas of New York.,Landslide,High
2024-06-13 12:58,Vaccination centers in Turkey are overwhelmed with long queues.,Pandemic,High
2023-12-03 03:25,Vaccination centers in Brazil are overwhelmed with long queues.,Pandemic,Low
2024-11-17 15:40,Power out and trees down everywhere in New York. This hurricane is no joke.,Hurricane,High
2024-05-30 19:36,Massive explosion reported at the chemical plant in New York. Stay away!,Explosion,Medium
2023-06-02 15:52,Loud explosion heard near downtown New York. Emergency services en route.,Explosion,Medium
2023-11-16 06:33,Evacuation orders in effect due to the fire near New York.,Wildfire,High
2024-08-03 20:33,Loud explosion heard near downtown California. Emergency services en route.,Explosion,Medium
2023-08-01 03:22,"Hurricane approaching India, winds are getting stronger by the minute.",Hurricane,Medium
2024-08-28 07:42,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,High
2024-05-19 12:10,Massive earthquake reported near Nevada. Buildings are damaged and people are panicking.,Earthquake,Medium
2023-02-20 08:38,"Landslide blocks main road in Japan, travelers stranded.",Landslide,Medium
2024-08-19 08:27,Black smoke billowing from the explosion site in Nevada.,Explosion,Low
2024-09-09 08:10,Flash flood warning issued in New York. Residents advised to evacuate.,Flood,Medium
2024-08-02 09:06,Massive earthquake reported near Texas. Buildings are damaged and people are panicking.,Earthquake,High
2024-08-01 22:25,Evacuation orders in effect due to the fire near New York.,Wildfire,Low
2023-10-25 22:16,Wildfire spreading rapidly through Florida. Stay safe everyone. #firealert,Wildfire,Low
2024-05-05 01:08,"Landslide blocks main road in California, travelers stranded.",Landslide,Medium
2023-12-30 13:57,Massive explosion reported at the chemical plant in Brazil. Stay away!,Explosion,High
2023-04-12 08:19,Heavy rains trigger landslides in hilly areas of Nevada.,Landslide,Medium
2024-04-06 04:20,Wildfire spreading rapidly through California. Stay safe everyone. #firealert,Wildfire,Medium
2023-08-09 12:23,COVID-19 cases rising again in Japan. Please wear masks and stay safe.,Pandemic,High
2023-06-26 05:37,Vaccination centers in Japan are overwhelmed with long queues.,Pandemic,Low
2023-07-03 23:55,Sky is filled with smoke as forest fire rages in Japan.,Wildfire,High
2024-04-24 14:58,Black smoke billowing from the explosion site in Philippines.,Explosion,Medium
2023-04-23 05:50,Just felt the ground shake in California! Hope everyone's okay. #earthquake,Earthquake,High
2024-06-04 19:39,Massive earthquake reported near Brazil. Buildings are damaged and people are panicking.,Earthquake,Low
2023-11-05 02:41,Flash flood warning issued in Japan. Residents advised to evacuate.,Flood,High
2024-07-28 14:06,"Hurricane approaching Florida, winds are getting stronger by the minute.",Hurricane,Medium
2023-10-02 12:23,"Water levels are rising fast in Florida, homes are being flooded.",Flood,Low
2023-02-23 20:38,Heavy rains trigger landslides in hilly areas of Brazil.,Landslide,High
2023-11-24 00:00,Loud explosion heard near downtown Japan. Emergency services en route.,Explosion,Low
2024-03-11 09:39,Black smoke billowing from the explosion site in Japan.,Explosion,Medium
2023-12-15 23:14,Loud explosion heard near downtown India. Emergency services en route.,Explosion,High
2024-02-28 23:27,Power out and trees down everywhere in Japan. This hurricane is no joke.,Hurricane,Medium
2023-10-19 20:34,Just felt the ground shake in Texas! Hope everyone's okay. #earthquake,Earthquake,Medium
2024-01-25 02:44,Sky is filled with smoke as forest fire rages in Brazil.,Wildfire,Medium
2024-01-04 21:41,Vaccination centers in Brazil are overwhelmed with long queues.,Pandemic,High
2024-11-03 11:15,Roads in California are completely submerged after hours of heavy rain. #flood,Flood,High
2024-11-01 05:01,Roads in Florida are completely submerged after hours of heavy rain. #flood,Flood,High
2024-09-25 05:57,Just felt the ground shake in Philippines! Hope everyone's okay. #earthquake,Earthquake,High
2023-11-01 14:20,"Hurricane approaching Brazil, winds are getting stronger by the minute.",Hurricane,Medium
2024-01-31 20:53,Roads in Philippines are completely submerged after hours of heavy rain. #flood,Flood,Medium
2023-01-27 18:31,Major damage reported in Florida after hurricane landfall. #storm,Hurricane,Medium
2024-07-29 18:50,Heavy rains trigger landslides in hilly areas of California.,Landslide,Low
2023-09-19 19:13,Heavy rains trigger landslides in hilly areas of New York.,Landslide,High
2024-05-25 21:56,Roads in New York are completely submerged after hours of heavy rain. #flood,Flood,High
2024-10-14 02:01,Black smoke billowing from the explosion site in California.,Explosion,High
2024-08-14 11:55,Sky is filled with smoke as forest fire rages in Turkey.,Wildfire,High
2024-01-26 23:06,Massive earthquake reported near California. Buildings are damaged and people are panicking.,Earthquake,Medium
2024-03-08 09:45,"Landslide blocks main road in New York, travelers stranded.",Landslide,Medium
2024-04-09 17:00,"Hurricane approaching California, winds are getting stronger by the minute.",Hurricane,High
2024-10-27 20:19,Just felt the ground shake in Brazil! Hope everyone's okay. #earthquake,Earthquake,Medium
2023-03-03 21:10,Black smoke billowing from the explosion site in Brazil.,Explosion,Low
2024-07-13 22:26,Massive explosion reported at the chemical plant in Turkey. Stay away!,Explosion,Medium
2023-06-30 18:09,COVID-19 cases rising again in Texas. Please wear masks and stay safe.,Pandemic,Low
2024-04-23 20:25,Aftershocks continue to rattle California following the initial quake.,Earthquake,High
2024-04-29 00:22,"Landslide blocks main road in Texas, travelers stranded.",Landslide,Low
2023-09-16 12:13,Major damage reported in India after hurricane landfall. #storm,Hurricane,Medium
2023-05-02 02:58,"Hurricane approaching New York, winds are getting stronger by the minute.",Hurricane,High
